Order ID,Product,Category,Sub-Category,Sales,Quantity,Discount,Profit,Region,State,Date
1001,Staples,Office Supplies,Fasteners,10.50,2,0.0,4.50,West,California,2024-01-01
1002,Binder,Office Supplies,Binders,12.75,1,0.1,3.25,East,New York,2024-01-01
1003,Chair,Furniture,Chairs,475.00,1,0.0,120.50,West,Texas,2024-01-02
1004,Desk,Furniture,Desks,825.00,1,0.15,180.75,Central,Illinois,2024-01-02
1005,Laptop,Technology,Computers,1200.00,1,0.2,240.00,East,Massachusetts,2024-01-03
1006,Mouse,Technology,Accessories,25.00,3,0.05,8.75,South,Florida,2024-01-03
1007,Paper,Office Supplies,Paper,18.50,5,0.0,12.50,West,Washington,2024-01-04
1008,Bookcase,Furniture,Cabinets,250.00,1,0.25,37.50,Central,Wisconsin,2024-01-04
1009,Printer,Technology,Machines,450.00,1,0.3,22.50,East,Pennsylvania,2024-01-05
1010,Pen,Office Supplies,Writing Instruments,5.75,12,0.0,3.45,South,Georgia,2024-01-05
1011,Desk Lamp,Furniture,Accessories,85.00,2,0.1,12.75,West,California,2024-01-06
1012,Monitor,Technology,Computers,350.00,1,0.15,87.50,East,New York,2024-01-06
1013,File Cabinet,Furniture,Cabinets,200.00,1,0.0,60.00,Central,Ohio,2024-01-07
1014,USB Drive,Technology,Accessories,15.00,8,0.0,6.00,South,Florida,2024-01-07
1015,Organizer,Office Supplies,Supplies,22.50,4,0.1,5.40,West,Texas,2024-01-08
1016,Conference Table,Furniture,Tables,1500.00,1,0.2,300.00,Central,Illinois,2024-01-08
1017,Cable,Technology,Accessories,8.50,10,0.05,2.55,East,Massachusetts,2024-01-09
1018,Labels,Office Supplies,Supplies,12.00,3,0.0,6.00,South,Georgia,2024-01-09
1019,Office Chair,Furniture,Chairs,250.00,2,0.15,42.50,West,Washington,2024-01-10
1020,External Hard Drive,Technology,Accessories,120.00,1,0.1,30.00,East,Pennsylvania,2024-01-10
